Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"6,483,209","1,268,032","7,751,241"
2002,11,"5,836,804","1,248,937","7,085,741"
2002,12,"6,473,000","1,428,359","7,901,359"
2002,TOTAL,"77,435,542","16,564,424","93,999,966"
2003,1,"5,659,172","1,354,646","7,013,818"
2003,2,"5,224,456","1,139,470","6,363,926"
2003,3,"6,307,672","1,320,809","7,628,481"
2003,4,"5,905,978","1,197,107","7,103,085"
2003,5,"6,217,128","1,230,334","7,447,462"
2003,6,"6,547,986","1,443,436","7,991,422"
2003,7,"7,007,137","1,735,273","8,742,410"
2003,8,"6,696,062","1,728,088","8,424,150"
2003,9,"5,268,120","1,244,953","6,513,073"
2003,10,"5,999,944","1,273,217","7,273,161"
2003,11,"5,444,921","1,336,110","6,781,031"
2003,12,"5,892,720","1,531,539","7,424,259"
2003,TOTAL,"72,171,296","16,534,982","88,706,278"
2004,1,"5,474,024","1,472,700","6,946,724"
2004,2,"5,493,738","1,335,590","6,829,328"
2004,3,"6,425,095","1,534,482","7,959,577"
2004,4,"6,209,747","1,515,225","7,724,972"
2004,5,"6,080,757","1,480,462","7,561,219"
2004,6,"6,520,178","1,655,385","8,175,563"
2004,7,"6,717,316","1,974,326","8,691,642"
2004,8,"6,405,790","1,914,936","8,320,726"
2004,9,"5,323,045","1,387,152","6,710,197"
2004,10,"6,036,514","1,459,969","7,496,483"
