Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2006,11,"4,538,865","835,501","5,374,366"
2006,12,"4,455,662","881,800","5,337,462"
2006,TOTAL,"57,208,763","10,768,062","67,976,825"
2007,1,"4,364,450","865,601","5,230,051"
2007,2,"4,055,672","746,826","4,802,498"
2007,3,"5,088,482","947,707","6,036,189"
2007,4,"4,921,177","895,584","5,816,761"
2007,5,"5,047,618","937,792","5,985,410"
2007,6,"5,136,177","1,010,445","6,146,622"
2007,7,"5,165,814","1,037,716","6,203,530"
2007,8,"5,157,349","1,023,499","6,180,848"
2007,9,"4,297,104","896,710","5,193,814"
2007,10,"4,687,662","895,672","5,583,334"
2007,11,"4,345,102","835,657","5,180,759"
2007,12,"4,132,676","915,739","5,048,415"
2007,TOTAL,"56,399,283","11,008,948","67,408,231"
2008,1,"3,814,616","885,930","4,700,546"
2008,2,"3,853,886","791,670","4,645,556"
2008,3,"4,696,223","978,600","5,674,823"
2008,4,"4,471,328","890,892","5,362,220"
2008,5,"4,651,223","946,139","5,597,362"
2008,6,"4,862,311","984,198","5,846,509"
2008,7,"4,905,103","1,009,938","5,915,041"
2008,8,"4,854,058","1,004,594","5,858,652"
2008,9,"3,973,826","814,961","4,788,787"
2008,10,"4,246,756","809,606","5,056,362"
2008,11,"3,550,947","706,184","4,257,131"
2008,12,"3,781,104","798,584","4,579,688"
2008,TOTAL,"51,661,381","10,621,296","62,282,677"
2009,1,"3,379,371","756,261","4,135,632"
2009,2,"3,260,853","630,223","3,891,076"
2009,3,"4,083,279","789,119","4,872,398"
2009,4,"3,834,934","793,987","4,628,921"
2009,5,"3,905,735","772,120","4,677,855"
2009,6,"4,213,529","868,922","5,082,451"
2009,7,"4,400,040","943,272","5,343,312"
2009,8,"4,289,258","953,737","5,242,995"
2009,9,"3,554,837","790,828","4,345,665"
2009,10,"3,805,704","773,793","4,579,497"
2009,11,"3,369,503","670,795","4,040,298"
2009,12,"3,473,568","758,154","4,231,722"
2009,TOTAL,"45,570,611","9,501,211","55,071,822"
2010,1,"3,256,750","746,340","4,003,090"
2010,2,"2,998,199","625,452","3,623,651"
2010,3,"3,781,975","795,355","4,577,330"
2010,4,"3,594,361","725,217","4,319,578"
2010,5,"3,724,578","859,352","4,583,930"
2010,6,"3,924,482","908,091","4,832,573"
2010,7,"4,019,575","952,962","4,972,537"
2010,8,"4,030,843","936,221","4,967,064"
2010,9,"3,498,724","836,388","4,335,112"
2010,10,"3,754,131","830,069","4,584,200"
2010,11,"3,397,281","709,283","4,106,564"
2010,12,"3,326,001","800,610","4,126,611"
2010,TOTAL,"43,306,900","9,725,340","53,032,240"
2011,1,"3,012,378","770,944","3,783,322"
2011,2,"2,809,725","638,719","3,448,444"
2011,3,"3,449,670","811,046","4,260,716"
2011,4,"3,230,000","828,484","4,058,484"
2011,5,"3,382,600","894,944","4,277,544"
2011,6,"3,664,079","932,071","4,596,150"
2011,7,"3,822,906","999,916","4,822,822"
2011,8,"3,715,505","959,619","4,675,124"
2011,9,"3,171,710","857,955","4,029,665"
2011,10,"3,269,782","832,614","4,102,396"
2011,11,"2,952,856","737,461","3,690,317"
2011,12,"3,047,322","826,777","3,874,099"
2011,TOTAL,"39,528,533","10,090,550","49,619,083"
2012,1,"4,984,089","1,901,259","6,885,348"
2012,2,"4,919,282","1,676,303","6,595,585"
2012,3,"5,952,082","2,119,321","8,071,403"
2012,4,"5,757,600","2,034,449","7,792,049"
2012,5,"5,908,966","2,087,875","7,996,841"
2012,6,"6,185,279","2,257,790","8,443,069"
2012,7,"6,326,084","2,439,653","8,765,737"
2012,8,"6,284,718","2,276,932","8,561,650"
2012,9,"5,253,311","1,838,359","7,091,670"
2012,10,"5,510,934","1,749,224","7,260,158"
2012,11,"5,204,739","1,676,868","6,881,607"
2012,12,"5,246,744","1,902,127","7,148,871"
2012,TOTAL,"67,533,828","23,960,160","91,493,988"
2013,1,"4,954,097","1,890,855","6,844,952"
2013,2,"4,686,091","1,604,832","6,290,923"
2013,3,"5,704,496","2,127,732","7,832,228"
2013,4,"5,263,228","1,978,337","7,241,565"
2013,5,"5,618,696","2,091,661","7,710,357"
2013,6,"5,835,043","2,296,608","8,131,651"
2013,7,"5,899,822","2,453,930","8,353,752"
2013,8,"5,902,085","2,332,039","8,234,124"
2013,9,"5,097,214","1,870,468","6,967,682"
2013,10,"5,524,693","1,827,429","7,352,122"
2013,11,"5,122,924","1,718,822","6,841,746"
2013,12,"5,505,093","1,971,843","7,476,936"
2013,TOTAL,"65,113,482","24,164,556","89,278,038"
2014,1,"4,786,821","1,906,028","6,692,849"
2014,2,"4,565,753","1,671,615","6,237,368"
2014,3,"5,645,416","2,222,298","7,867,714"
2014,4,"5,263,789","2,083,668","7,347,457"
2014,5,"5,676,534","2,219,737","7,896,271"
2014,6,"5,782,418","2,428,981","8,211,399"
2014,7,"5,927,391","2,600,920","8,528,311"
2014,8,"5,847,897","2,445,936","8,293,833"
2014,9,"5,164,238","1,899,869","7,064,107"
2014,10,"5,602,825","1,865,164","7,467,989"
2014,11,"5,059,175","1,808,770","6,867,945"
2014,12,"5,346,056","2,050,286","7,396,342"
2014,TOTAL,"64,668,313","25,203,272","89,871,585"
2015,1,"4,804,539","1,947,047","6,751,586"
2015,2,"4,607,021","1,686,887","6,293,908"
2015,3,"5,776,714","2,233,207","8,009,921"
2015,4,"5,511,339","2,124,217","7,635,556"
2015,5,"5,984,499","2,208,848","8,193,347"
2015,6,"6,231,940","2,428,215","8,660,155"
2015,7,"6,451,029","2,706,365","9,157,394"
2015,8,"6,273,013","2,546,709","8,819,722"
2015,9,"5,655,459","1,911,328","7,566,787"
2015,10,"6,329,169","1,896,879","8,226,048"
2015,11,"5,740,177","1,869,335","7,609,512"
2015,12,"5,813,742","2,153,949","7,967,691"
2015,TOTAL,"69,178,641","25,712,986","94,891,627"
2016,1,"5,055,420","2,019,550","7,074,970"
2016,2,"4,973,238","1,781,640","6,754,878"
2016,3,"5,923,783","2,241,984","8,165,767"
2016,4,"5,729,928","2,022,485","7,752,413"
2016,5,"6,293,618","2,175,315","8,468,933"
2016,6,"6,592,185","2,495,365","9,087,550"
2016,7,"6,767,029","2,785,547","9,552,576"
2016,8,"6,788,195","2,501,629","9,289,824"
2016,9,"6,337,483","1,981,344","8,318,827"
2016,10,"6,790,121","1,936,038","8,726,159"
2016,11,"6,297,085",,
2016,12,"6,232,029",,
2016,TOTAL,"73,780,114","21,940,897","83,191,897"
2017,1,"5,577,898",,
2017,TOTAL,"5,577,898",0,0
